species,class,order,weight_kg,length_cm,conservation_status
Process radio,Actinopterygii,Rodentia,175.088,1358.31,Least Concern
Over PM,Aves,Squamata,1816.855,1046.9,Endangered
Statement customer,Mammalia,Rodentia,2158.449,1087.44,Near Threatened
Trade section,Amphibia,Anura,6.845,2706.82,Critically Endangered
Actually another,Aves,Rodentia,1780.402,1357.81,Vulnerable
Girl there,Mammalia,Primates,3760.687,1551.77,Vulnerable
North PM,Amphibia,Rodentia,4776.399,279.71,Extinct in the Wild
Western offer,Aves,Carnivora,1513.279,156.6,Vulnerable
Many experience,Mammalia,Rodentia,2780.114,1622.75,Endangered
Forget study,Amphibia,Passeriformes,1880.948,1797.21,Extinct in the Wild
Once behavior,Actinopterygii,Primates,1932.253,2160.19,Endangered
Marriage prove,Actinopterygii,Passeriformes,3050.998,2613.88,Extinct in the Wild
Or heart,Mammalia,Anura,4833.377,778.86,Extinct in the Wild
Produce recognize,Amphibia,Passeriformes,1568.805,2897.68,Near Threatened
Anyone single,Aves,Squamata,2650.939,2896.63,Extinct in the Wild
Win hear,Amphibia,Passeriformes,4177.456,770.09,Extinct in the Wild
Congress management,Aves,Rodentia,4453.981,2748.42,Endangered
Total southern,Mammalia,Squamata,1572.321,2128.6,Near Threatened
Yard these,Aves,Anura,2786.007,1954.44,Critically Endangered
Of summer,Mammalia,Passeriformes,2008.513,1171.51,Near Threatened
Whose property,Mammalia,Rodentia,168.395,171.98,Near Threatened
Summer model,Amphibia,Passeriformes,1712.193,1234.21,Critically Endangered
Mother be,Aves,Rodentia,3375.043,2510.77,Endangered
Staff care,Aves,Passeriformes,322.329,953.63,Endangered
Employee including,Actinopterygii,Squamata,1266.506,539.19,Critically Endangered
Month quickly,Reptilia,Primates,4865.065,2943.12,Vulnerable
Shoulder run,Reptilia,Rodentia,1847.65,348.16,Endangered
So capital,Amphibia,Rodentia,1111.405,206.34,Near Threatened
Memory someone,Mammalia,Passeriformes,3495.655,2604.43,Endangered
Huge conference,Reptilia,Primates,2214.191,2056.22,Least Concern
Itself enter,Reptilia,Passeriformes,1777.548,1348.74,Endangered
Baby different,Reptilia,Anura,2430.673,810.69,Least Concern
Article city,Actinopterygii,Passeriformes,273.63,876.18,Critically Endangered
Affect green,Actinopterygii,Passeriformes,2919.082,2520.46,Near Threatened
Father their,Mammalia,Passeriformes,451.37,322.02,Extinct in the Wild
Brother great,Reptilia,Primates,744.949,116.21,Critically Endangered
Whom sell,Mammalia,Carnivora,2888.308,1019.59,Endangered
Fish born,Mammalia,Passeriformes,2103.484,2923.05,Critically Endangered
Indicate myself,Aves,Rodentia,550.807,2956.85,Near Threatened
Yet out,Mammalia,Anura,3495.563,1972.89,Endangered
How major,Reptilia,Squamata,4821.829,1381.38,Endangered
Help no,Actinopterygii,Squamata,4733.398,1735.23,Extinct in the Wild
Suffer tough,Aves,Passeriformes,1602.269,547.95,Extinct in the Wild
Easy upon,Aves,Primates,2870.821,820.87,Near Threatened
Loss star,Aves,Passeriformes,3942.053,684.46,Critically Endangered
Science bill,Actinopterygii,Anura,504.098,68.24,Near Threatened
Our scientist,Actinopterygii,Passeriformes,2687.219,440.27,Near Threatened
Guy sit,Mammalia,Carnivora,3574.45,2648.57,Endangered
Arm involve,Reptilia,Anura,4453.138,9.53,Extinct in the Wild
Use type,Mammalia,Rodentia,521.03,819.77,Near Threatened
Level option,Aves,Carnivora,2415.406,1110.22,Vulnerable
Future far,Amphibia,Passeriformes,4522.356,2479.52,Near Threatened
Explain popular,Aves,Primates,935.628,1063.48,Extinct in the Wild
Which board,Aves,Squamata,1527.988,1595.51,Near Threatened
Either character,Amphibia,Rodentia,697.463,1847.94,Extinct in the Wild
General society,Mammalia,Squamata,2507.065,174.24,Extinct in the Wild
And camera,Aves,Primates,2377.792,1526.84,Extinct in the Wild
Prepare base,Aves,Anura,3537.076,2495.89,Endangered
Before even,Aves,Carnivora,4091.143,2548.87,Extinct in the Wild
Along why,Aves,Primates,4039.076,2868.46,Vulnerable
Fine myself,Aves,Primates,188.919,2145.54,Extinct in the Wild
Quality real,Actinopterygii,Passeriformes,1446.396,539.35,Extinct in the Wild
Eight available,Amphibia,Carnivora,3911.677,2637.48,Extinct in the Wild
Hair car,Amphibia,Squamata,3576.94,608.0,Extinct in the Wild
Much season,Mammalia,Anura,3700.509,450.77,Near Threatened
Someone traditional,Mammalia,Squamata,729.291,2369.29,Vulnerable
Ever data,Aves,Anura,1912.204,2845.2,Endangered
Figure interest,Actinopterygii,Rodentia,4864.15,2671.09,Extinct in the Wild
Example happen,Reptilia,Passeriformes,748.473,1496.9,Vulnerable
Whether trial,Aves,Passeriformes,1828.375,2304.52,Least Concern
Bar subject,Mammalia,Squamata,2244.023,1102.2,Extinct in the Wild
Window theory,Amphibia,Squamata,4143.047,86.67,Vulnerable
Successful surface,Mammalia,Passeriformes,3014.353,350.41,Near Threatened
Strategy themselves,Actinopterygii,Anura,3408.328,1119.35,Near Threatened
I culture,Actinopterygii,Passeriformes,3170.946,147.62,Near Threatened
Teacher trade,Mammalia,Anura,59.381,1743.02,Critically Endangered
Return always,Amphibia,Squamata,413.059,224.56,Vulnerable
Court matter,Actinopterygii,Passeriformes,1168.663,306.07,Endangered
Media color,Mammalia,Anura,4595.56,37.39,Near Threatened
Six fire,Actinopterygii,Rodentia,1588.391,2570.09,Near Threatened
Interest concern,Amphibia,Anura,2364.936,2412.98,Least Concern
Down describe,Aves,Passeriformes,2331.311,1981.56,Vulnerable
Left all,Mammalia,Passeriformes,149.465,1419.53,Near Threatened
Resource gas,Aves,Anura,1735.125,1242.85,Least Concern
Dream prevent,Aves,Anura,2860.792,1647.64,Least Concern
Quality TV,Actinopterygii,Carnivora,1838.164,849.44,Vulnerable
Part finish,Aves,Rodentia,4797.092,2313.03,Extinct in the Wild
Certain charge,Reptilia,Carnivora,2320.725,1562.6,Extinct in the Wild
Still per,Reptilia,Primates,1158.396,1900.68,Near Threatened
Head talk,Amphibia,Anura,623.354,2347.47,Vulnerable
Important activity,Mammalia,Squamata,3622.08,768.55,Critically Endangered
College me,Mammalia,Carnivora,3595.324,2176.78,Vulnerable
Even read,Aves,Carnivora,563.69,1182.51,Endangered
Treatment I,Mammalia,Squamata,4124.136,1906.24,Extinct in the Wild
Republican behavior,Amphibia,Anura,1939.756,1569.8,Least Concern
Product everything,Aves,Squamata,4362.338,1610.16,Extinct in the Wild
None wide,Mammalia,Rodentia,3011.241,1971.35,Extinct in the Wild
Same style,Aves,Anura,1607.484,2075.13,Endangered
Whose green,Amphibia,Primates,1244.961,2534.77,Critically Endangered
Energy house,Actinopterygii,Carnivora,673.787,1187.68,Near Threatened
Condition spend,Mammalia,Passeriformes,4826.684,1732.25,Endangered
Identify need,Mammalia,Carnivora,3521.885,1503.0,Extinct in the Wild
Film head,Aves,Carnivora,295.431,1470.38,Critically Endangered
Red now,Aves,Passeriformes,2501.323,538.99,Near Threatened
Soldier bit,Actinopterygii,Carnivora,4616.427,1060.27,Extinct in the Wild
Fine open,Amphibia,Passeriformes,3931.521,1817.49,Least Concern
Mission color,Amphibia,Primates,2161.413,1538.52,Endangered
Everything certainly,Reptilia,Squamata,698.534,1304.85,Endangered
Crime rate,Mammalia,Squamata,3607.683,556.39,Critically Endangered
Night include,Amphibia,Rodentia,1067.814,1739.02,Near Threatened
Method protect,Mammalia,Squamata,4342.597,115.7,Least Concern
Million network,Actinopterygii,Primates,205.72,2281.99,Vulnerable
Rate quality,Reptilia,Primates,2566.995,2705.11,Critically Endangered
Involve leg,Amphibia,Passeriformes,4706.42,431.51,Critically Endangered
Young you,Mammalia,Squamata,3806.291,2008.96,Endangered
Pm right,Reptilia,Rodentia,563.232,2921.44,Endangered
Spend day,Mammalia,Rodentia,71.893,1408.07,Critically Endangered
Suffer today,Reptilia,Primates,1923.57,460.05,Critically Endangered
Yeah machine,Mammalia,Carnivora,2237.536,2506.3,Near Threatened
Red religious,Mammalia,Squamata,4030.383,88.03,Critically Endangered
Here so,Reptilia,Primates,3872.493,2129.24,Least Concern
Scientist place,Mammalia,Primates,3289.023,931.83,Vulnerable
Hair garden,Reptilia,Rodentia,4691.97,1344.6,Endangered
Young fact,Mammalia,Primates,2562.071,2079.91,Least Concern
But new,Mammalia,Carnivora,4275.573,1857.12,Extinct in the Wild
Increase fly,Actinopterygii,Anura,3679.355,890.15,Vulnerable
Vote full,Reptilia,Passeriformes,3444.702,509.44,Least Concern
Action measure,Aves,Primates,3146.652,1143.85,Vulnerable
Term fish,Amphibia,Rodentia,2822.974,1527.09,Endangered
Activity door,Actinopterygii,Anura,1992.653,2349.4,Critically Endangered
Option stage,Amphibia,Anura,3915.103,182.15,Critically Endangered
Enter point,Actinopterygii,Primates,4125.029,2215.98,Extinct in the Wild
Maybe treat,Actinopterygii,Anura,1304.798,2238.51,Near Threatened
Add and,Reptilia,Squamata,2634.252,1334.29,Vulnerable
Maintain what,Mammalia,Passeriformes,1020.598,332.0,Endangered
May sense,Aves,Carnivora,2535.378,294.41,Near Threatened
Often what,Aves,Rodentia,791.527,21.99,Least Concern
Mouth significant,Amphibia,Squamata,4866.304,906.01,Endangered
Key point,Reptilia,Primates,1626.93,2434.56,Endangered
Adult give,Aves,Primates,3082.885,113.61,Extinct in the Wild
Class thought,Actinopterygii,Rodentia,981.209,961.07,Least Concern
Land house,Aves,Squamata,4683.102,1470.46,Endangered
Our upon,Reptilia,Squamata,681.427,12.26,Least Concern
Sure ready,Aves,Carnivora,4605.382,104.61,Endangered
Bring actually,Aves,Primates,3319.545,2994.25,Critically Endangered
Appear clearly,Amphibia,Carnivora,3889.002,3.03,Vulnerable
Foot ask,Amphibia,Squamata,1193.821,1207.61,Least Concern
Opportunity woman,Actinopterygii,Rodentia,4965.696,1473.75,Vulnerable
South ball,Actinopterygii,Primates,1690.743,1427.69,Vulnerable
Shoulder order,Mammalia,Anura,2237.177,690.01,Extinct in the Wild
Situation relate,Mammalia,Primates,1463.475,2608.15,Vulnerable
Become price,Reptilia,Carnivora,2810.21,728.17,Critically Endangered
Note interesting,Amphibia,Anura,4580.415,112.46,Near Threatened
May hot,Mammalia,Squamata,4281.418,600.0,Least Concern
Minute success,Reptilia,Anura,4893.997,1918.09,Vulnerable
Expect base,Mammalia,Passeriformes,102.345,30.8,Extinct in the Wild
Student art,Reptilia,Carnivora,1676.384,748.67,Near Threatened
From debate,Aves,Squamata,3873.188,2926.3,Near Threatened
Security of,Actinopterygii,Primates,484.679,1807.2,Vulnerable
Responsibility stuff,Mammalia,Passeriformes,1541.882,934.29,Extinct in the Wild
Begin cup,Reptilia,Passeriformes,3836.742,827.18,Least Concern
Manage local,Aves,Carnivora,3169.898,99.24,Extinct in the Wild
Successful between,Mammalia,Squamata,807.206,586.05,Vulnerable
Service service,Aves,Squamata,2552.699,573.61,Near Threatened
Certain group,Reptilia,Passeriformes,2850.524,2288.58,Least Concern
Item key,Mammalia,Rodentia,4802.722,166.33,Endangered
Arrive benefit,Mammalia,Passeriformes,2169.621,902.82,Extinct in the Wild
Stock gas,Amphibia,Passeriformes,1142.333,1802.83,Endangered
Inside make,Reptilia,Passeriformes,4585.224,1786.21,Least Concern
Treatment seat,Amphibia,Squamata,670.664,69.17,Extinct in the Wild
Work every,Mammalia,Anura,2343.806,1819.52,Critically Endangered
Into employee,Reptilia,Carnivora,3939.92,741.53,Least Concern
Her relate,Amphibia,Rodentia,1501.315,1534.31,Extinct in the Wild
Drug citizen,Amphibia,Rodentia,43.568,1323.88,Vulnerable
Item money,Aves,Rodentia,2068.875,2737.07,Near Threatened
Type win,Reptilia,Primates,1572.227,1021.56,Critically Endangered
Law certainly,Amphibia,Carnivora,3254.849,1901.94,Least Concern
Person local,Amphibia,Passeriformes,475.168,2822.69,Endangered
Foreign probably,Mammalia,Squamata,390.481,2080.01,Near Threatened
Guy knowledge,Mammalia,Squamata,3678.156,761.24,Near Threatened
Purpose large,Mammalia,Carnivora,2426.745,1678.41,Near Threatened
Factor house,Aves,Rodentia,2325.049,1609.81,Near Threatened
Six window,Amphibia,Rodentia,2569.58,2598.87,Least Concern
Project teach,Actinopterygii,Rodentia,3037.131,1490.82,Least Concern
Contain himself,Mammalia,Rodentia,962.879,2471.35,Near Threatened
Writer but,Reptilia,Passeriformes,4294.862,2292.48,Least Concern
Open data,Mammalia,Primates,4057.304,2647.12,Least Concern
Player no,Reptilia,Carnivora,1687.002,73.25,Near Threatened
Life president,Actinopterygii,Anura,2079.662,2251.95,Near Threatened
Drop share,Amphibia,Passeriformes,4865.315,1613.2,Critically Endangered
Social whatever,Actinopterygii,Anura,4903.31,1742.16,Critically Endangered
Rest way,Actinopterygii,Passeriformes,4749.014,1161.18,Least Concern
Happen middle,Mammalia,Squamata,1522.58,2716.15,Extinct in the Wild
Themselves right,Actinopterygii,Squamata,2348.929,2836.88,Least Concern
Training step,Reptilia,Anura,1284.252,348.49,Vulnerable
Determine on,Mammalia,Anura,4394.584,62.73,Extinct in the Wild
Series performance,Aves,Carnivora,358.348,2050.11,Near Threatened
Leader anything,Amphibia,Anura,1047.795,1087.75,Near Threatened
Heavy establish,Amphibia,Carnivora,4360.279,1542.86,Endangered
Economy outside,Mammalia,Passeriformes,3238.584,1483.3,Near Threatened
Single party,Mammalia,Passeriformes,4513.116,1467.88,Least Concern
Everyone near,Aves,Anura,4290.512,1572.79,Endangered
Price upon,Aves,Carnivora,2512.154,907.44,Vulnerable
Throughout change,Amphibia,Rodentia,1681.798,1577.26,Least Concern
Without opportunity,Actinopterygii,Primates,291.446,1540.84,Extinct in the Wild
Human policy,Reptilia,Rodentia,2615.094,2602.95,Critically Endangered
Life his,Reptilia,Carnivora,478.101,1503.86,Least Concern
For discussion,Amphibia,Anura,2144.062,2105.94,Extinct in the Wild
A at,Aves,Primates,3731.201,1700.03,Extinct in the Wild
Defense order,Aves,Primates,2999.804,2484.88,Endangered
Image line,Actinopterygii,Carnivora,87.463,2924.36,Least Concern
Season physical,Reptilia,Passeriformes,2426.905,347.82,Critically Endangered
Foreign ask,Mammalia,Squamata,3898.906,106.93,Critically Endangered
Animal million,Reptilia,Carnivora,2863.057,276.22,Near Threatened
Benefit trouble,Actinopterygii,Primates,1110.915,2448.65,Near Threatened
Bring spend,Reptilia,Passeriformes,2003.783,1489.11,Extinct in the Wild
Century respond,Reptilia,Carnivora,4868.357,1604.05,Critically Endangered
Only by,Aves,Squamata,1963.311,2899.79,Critically Endangered
Century high,Reptilia,Primates,4519.903,1126.53,Least Concern
Test plant,Reptilia,Rodentia,4151.003,2095.0,Extinct in the Wild
Him surface,Amphibia,Primates,3919.011,1209.82,Near Threatened
Sound theory,Reptilia,Passeriformes,4799.297,2448.63,Near Threatened
Same control,Mammalia,Carnivora,3262.914,1578.75,Critically Endangered
Relationship simply,Aves,Rodentia,117.487,258.64,Least Concern
Board father,Reptilia,Rodentia,2692.15,2279.85,Least Concern
Contain vote,Aves,Primates,3882.674,53.89,Critically Endangered
Dark information,Mammalia,Primates,1308.393,752.77,Endangered
Effect upon,Amphibia,Anura,4938.638,67.5,Critically Endangered
Reveal sure,Reptilia,Squamata,368.212,2345.51,Extinct in the Wild
Career understand,Reptilia,Squamata,88.719,2642.22,Critically Endangered
Eat maintain,Amphibia,Rodentia,2233.364,1986.21,Least Concern
Pm budget,Mammalia,Passeriformes,1438.87,96.35,Extinct in the Wild
Draw difficult,Reptilia,Passeriformes,2703.716,2248.51,Vulnerable
Budget available,Actinopterygii,Primates,997.411,2046.33,Near Threatened
Move people,Mammalia,Carnivora,1645.213,1960.2,Least Concern
Long capital,Mammalia,Rodentia,3637.769,1323.68,Critically Endangered
Guy response,Mammalia,Primates,4728.188,900.35,Extinct in the Wild
Television information,Actinopterygii,Squamata,2543.984,576.23,Critically Endangered
Ok although,Aves,Carnivora,3244.674,776.59,Extinct in the Wild
Eat special,Actinopterygii,Rodentia,1412.577,1553.95,Endangered
Court wide,Actinopterygii,Passeriformes,3073.059,2917.78,Vulnerable
Practice everything,Mammalia,Passeriformes,973.485,26.46,Near Threatened
Need sister,Amphibia,Primates,4050.437,2952.06,Near Threatened
Sure Democrat,Actinopterygii,Anura,1224.896,648.45,Endangered
Realize oil,Actinopterygii,Squamata,4793.51,1957.94,Critically Endangered
Station for,Mammalia,Rodentia,2133.695,2747.06,Endangered
Sea notice,Aves,Squamata,4229.196,2486.67,Near Threatened
Tax loss,Aves,Primates,3449.269,1115.44,Critically Endangered
Former pressure,Mammalia,Rodentia,631.13,2813.55,Vulnerable
Week sing,Actinopterygii,Passeriformes,2225.172,106.17,Vulnerable
Factor them,Reptilia,Squamata,3194.395,2672.76,Extinct in the Wild
War sport,Aves,Rodentia,2451.077,2087.11,Extinct in the Wild
Value operation,Actinopterygii,Rodentia,1266.651,2468.49,Critically Endangered
Own concern,Reptilia,Anura,171.061,1367.67,Near Threatened
Or purpose,Aves,Carnivora,4087.261,2438.87,Vulnerable
Example its,Actinopterygii,Carnivora,3372.579,1223.21,Critically Endangered
Sit hand,Mammalia,Carnivora,997.593,229.58,Endangered
Remember fall,Amphibia,Primates,4691.992,1407.59,Near Threatened
Movie very,Mammalia,Rodentia,2523.169,2007.81,Critically Endangered
Reach room,Amphibia,Passeriformes,2138.023,2254.77,Endangered
Entire our,Aves,Primates,2358.067,1678.54,Near Threatened
Speech thus,Actinopterygii,Squamata,2009.24,692.5,Endangered
Government college,Reptilia,Passeriformes,419.167,239.11,Extinct in the Wild
Land would,Aves,Anura,1667.427,692.75,Critically Endangered
Thing police,Actinopterygii,Rodentia,2819.107,282.06,Critically Endangered
Alone rise,Aves,Rodentia,2786.255,1765.71,Extinct in the Wild
Style carry,Actinopterygii,Squamata,423.927,2957.75,Extinct in the Wild
Effort risk,Aves,Passeriformes,4200.83,201.54,Vulnerable
Use discussion,Mammalia,Carnivora,4640.933,641.66,Critically Endangered
Whether son,Aves,Squamata,4050.778,2900.61,Extinct in the Wild
Scene chair,Mammalia,Passeriformes,107.994,413.96,Near Threatened
Music understand,Actinopterygii,Anura,2275.796,1013.26,Near Threatened
Example than,Reptilia,Rodentia,4556.366,1368.39,Least Concern
Sister address,Actinopterygii,Carnivora,4472.726,1579.3,Extinct in the Wild
Street there,Aves,Primates,395.813,1577.0,Extinct in the Wild
Third close,Aves,Squamata,4523.893,446.32,Extinct in the Wild
Idea memory,Amphibia,Passeriformes,1284.304,96.91,Endangered
My before,Mammalia,Rodentia,2447.68,1586.1,Extinct in the Wild
Score employee,Mammalia,Carnivora,3264.103,305.02,Least Concern
Marriage evidence,Actinopterygii,Passeriformes,3039.749,170.99,Critically Endangered
Operation evening,Reptilia,Passeriformes,4986.88,1010.94,Extinct in the Wild
White Mr,Amphibia,Rodentia,4695.17,1669.15,Critically Endangered
Tend race,Aves,Primates,4118.769,962.1,Extinct in the Wild
Official best,Reptilia,Passeriformes,2240.267,1961.11,Endangered
Population never,Reptilia,Squamata,1365.161,1064.8,Critically Endangered
Check woman,Mammalia,Primates,2365.918,481.92,Near Threatened
Try meet,Mammalia,Passeriformes,4047.708,2284.33,Endangered
Generation Mr,Aves,Anura,4225.64,2110.29,Least Concern
Baby event,Mammalia,Primates,2040.916,2288.77,Extinct in the Wild
New plan,Amphibia,Passeriformes,2172.654,2079.58,Vulnerable
About attorney,Aves,Rodentia,2257.584,2299.19,Near Threatened
Baby say,Actinopterygii,Rodentia,2224.666,2128.18,Least Concern
Billion fly,Reptilia,Passeriformes,1867.493,1570.19,Least Concern
Should agent,Mammalia,Anura,4378.662,233.36,Extinct in the Wild
Sister amount,Mammalia,Anura,1882.786,2289.22,Vulnerable
Second region,Mammalia,Anura,497.706,2304.84,Critically Endangered
Serious else,Reptilia,Carnivora,2129.637,778.0,Least Concern
Others debate,Mammalia,Primates,104.91,2724.08,Least Concern
Color machine,Reptilia,Primates,406.931,2477.79,Critically Endangered
Strong tax,Aves,Passeriformes,1030.212,1593.86,Endangered
Green card,Aves,Rodentia,819.782,1371.51,Vulnerable
Lose remain,Reptilia,Passeriformes,2615.043,670.55,Least Concern
Life hit,Reptilia,Rodentia,3240.873,2613.76,Least Concern
Little toward,Reptilia,Squamata,1707.335,2909.51,Least Concern
Ready report,Actinopterygii,Primates,3091.983,2068.47,Least Concern
Sometimes month,Aves,Rodentia,2773.456,90.66,Near Threatened
Radio artist,Reptilia,Primates,2365.195,2586.17,Endangered
Pretty line,Amphibia,Rodentia,449.025,1663.94,Least Concern
Why pressure,Mammalia,Anura,4238.002,197.06,Least Concern
Why improve,Aves,Rodentia,3317.962,2930.53,Least Concern
Ten probably,Reptilia,Passeriformes,4587.515,1008.38,Critically Endangered
Outside citizen,Reptilia,Carnivora,1571.043,606.13,Near Threatened
Specific deep,Actinopterygii,Primates,1485.523,2550.92,Least Concern
He without,Reptilia,Rodentia,1565.392,95.91,Least Concern
Technology across,Amphibia,Carnivora,3670.643,972.72,Critically Endangered
Create operation,Actinopterygii,Anura,324.833,953.7,Critically Endangered
Instead impact,Amphibia,Primates,3409.459,1764.43,Critically Endangered
Quite sure,Amphibia,Passeriformes,937.452,411.45,Extinct in the Wild
Believe once,Mammalia,Primates,2631.714,2488.31,Critically Endangered
Yourself environmental,Aves,Rodentia,1986.92,2294.25,Extinct in the Wild
Community strong,Aves,Rodentia,3121.172,2318.09,Extinct in the Wild
Teacher American,Reptilia,Primates,375.522,766.08,Extinct in the Wild
Whom benefit,Actinopterygii,Anura,1408.231,1206.75,Endangered
Challenge since,Mammalia,Anura,2064.266,30.89,Vulnerable
Rather step,Actinopterygii,Squamata,3322.327,2072.51,Near Threatened
Network up,Aves,Carnivora,2162.655,894.23,Near Threatened
Will deal,Reptilia,Squamata,2314.544,674.23,Critically Endangered
Meet hear,Mammalia,Primates,960.982,367.89,Least Concern
Report for,Reptilia,Anura,1437.862,759.22,Least Concern
Meeting if,Mammalia,Passeriformes,2861.511,1336.1,Vulnerable
Alone industry,Reptilia,Passeriformes,3068.36,604.44,Vulnerable
Mean economy,Actinopterygii,Squamata,3021.542,820.97,Critically Endangered
Western present,Reptilia,Carnivora,3935.791,304.4,Vulnerable
